Publisher,Dataset Count
EMDB,51645
National Institute for Fusion Science (NIFS),23388951
Distributed System of Scientific Collections,4104363
The Global Biodiversity Information Facility,3806791
UNITE Community,3201093
Cambridge Crystallographic Data Centre,1160491
DSMZ,1119790
University of Southern California Digital Library (USC.DL),1027986
Zenodo,962467
Harvard Dataverse,737710
figshare,736601
Environmental Molecular Sciences Laboratory,492888
Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures,461091
PANGAEA,420114
"Birmensdorf, Swiss Federal Research Institute WSL",339725
"NILU, Department for Atmospheric Research, EBAS",317536
Data MIRRI,314639
"National Folklore Collection, University College Dublin",226676
Fundação Oswaldo Cruz,202768
Leibniz Institute for Astrophysics Potsdam (AIP),193637
Mendeley,173052
DANS Data Station Archaeology,164627
"Birmensdorf, Eidg. Forschungsanstalt WSL",153881
"Birmensdorf, Institut fédéral de recherches WSL",153881
"Birmensdorf, Istituto federale di ricerca WSL",153881
HEPData,151948
Barcode of Life Data Systems,147063
Recherche Data Gouv,145549
"LBNL Materials Project; Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)",144675
SciELO journals,136266
DataverseNO,135233
University of Pittsburgh,106724
openforestdata.pl,106637
PISCO MN,105584
Mendeley Data,104422
Dryad Digital Repository,98446
GEUS Dataverse,96079
Edition Topoi,95749
Environmental Data Initiative,91137
Taylor & Francis,87385
Figshare,82911
Texas Data Repository,79551
Unpublished,70392
Dryad,67258
CERN Open Data Portal,64326
ICPSR - Interuniversity Consortium for Political and Social Research,61289
DaRUS,60856
Institut français d'archéologie orientale,60448
Chandra X-ray Center/SAO,58717
Plazi.org taxonomic treatments database,57712
CaltechDATA,56257
Rolling Deck to Repository (R2R) Program,53138
BindingDB,52148
GRO.data,51900
École française d'Athènes,48973
Kaggle,42843
TOPMed,42379
MassIVE,42026
Neotoma Paleoecology Database,40723
Karger Publishers,36582
Diplomatische Dokumente der Schweiz | Documents Diplomatiques Suisses | Documenti Diplomatici Svizzeri | Diplomatic Documents of Switzerland,34966
UCLA Dataverse,34897
Seismological Facility for the Advancement of Geoscience,32102
Qualitative Data Repository,31936
UNIMI Dataverse,31290
"Universität Passau, Lehrstuhl für Digital Humanities",29191
Universität Hamburg,28255
Wiley,27041
GTEx,26857
FIZ Karlsruhe - Leibniz Institute for Information Infrastructure,26332
Caltech Joint Center for Artificial Photosynthesis High Throughput Experimentation Project,26112
Gdańsk University of Technology,25204
ULiège Open Data Repository,25028
The Royal Society,24921
TIB,24553
Borealis,23286
"UMS PatriNat (OFB-CNRS-MNHN), Paris",23237
Centre de Donnees Strasbourg (CDS),22790
UC San Diego Library Digital Collections,22720
IEEE DataPort,20962
Biological Magnetic Resonance Bank,20729
NOAA National Centers for Environmental Information,19477
U.S. Geological Survey,19194
Université de Lorraine,18983
Consiglio Nazionale delle Ricerche,18975
SAGE Journals,17184
Science Data Bank,16971
Göttingen Research Online / Data,16309
University of Cologne,16018
Portail Data INRAE,15587
data.InDoRES,15553
Root,15459
chemotion.net,15388
CIL,15318
Natural History Museum,15280
ISIS Facility,15118
"จุฬาลงกรณ์มหาวิทยาลัย,",15077
"มหาวิทยาลัยเชียงใหม่,",14759
Neotoma Paleoecological Database,13911
CSIRO,13645
"Bodleian Libraries, University of Oxford",13418
Vivli,13381
จุฬาลงกรณ์มหาวิทยาลัย,13266
มหาวิทยาลัยธรรมศาสตร์,13003
chemotion-repository,12162
European Space Agency,12002
Imperial College London,11427
https://b2share.eudat.eu,11179
University of Salento,10921
Yale Dataverse,10316
4TU.ResearchData,10115
Centre for Reviews and Dissemination - CRD,10020
École des Hautes Études en Sciences Sociales; Laboratoire d'anthropologie et d'histoire de l'institution de la culture (Paris); Institut  interdisciplinaire d'anthropologie du contemporain (Paris),9937
European Synchrotron Radiation Facility,9830
SXS Collaboration,9591
Interdisciplinary Earth Data Alliance (IEDA),9172
Telkom University Dataverse,9063
heiDATA,9034
Government of Canada,8765
NSF NCAR Earth Observing Laboratory,8716
GESIS Data Archive,8693
DANS Data Station Social Sciences and Humanities,8596
DataverseNL,8537
KNB Data Repository,8379
UK Data Service,8200
Institut Laue-Langevin (ILL),8159
nmrXiv,8092
Siemens AG,8060
University of Bern,7909
Digital.CSIC,7842
Eurostat,7840
International Potato Center,7344
Gouvernement du Canada,7313
"มหาวิทยาลัยขอนแก่น,",7258
Chulalongkorn University,7221
PANGAEA - Publishing Network for Geoscientific and Environmental Data,7141
SciELO Data,6910
CSDA,6732
Integrated Resource for Reproducibility in Macromolecular Crystallography,6703
Repositório de Dados de Pesquisa da Unicamp,6642
AUSSDA,6496
Ocean Networks Canada Society,6454
Geodetic Facility for the Advancement of Geoscience,6349
Geological Society of London,6309
"มหาวิทยาลัยเกษตรศาสตร์,",6171
Arctic Data Center,6160
Deutsches GeoForschungsZentrum GFZ,5974
Johns Hopkins University Data Archive,5784
AMRDC Data Repository,5438
TUNI,5377
ООО Цифра,5344
Archaeology Data Service,5331
DARE,5308
Centre d'Accès Sécurisé aux Données (CASD),5307
AIP Publishing,5219
Portail Data Inra,5211
CUHK Research Data Repository,5154
| Repozytorium Otwartych Danych Badawczych,5117
"มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,",5035
bonndata,4839
Openneuro,4768
data.sciencespo,4712
European Commission JRC Institute for Energy and Transport,4698
Apollo - University of Cambridge Repository,4691
"มหาวิทยาลัยรามคำแหง,",4644
FAIRsharing,4552
Geoscience Australia,4447
University of Southampton,4427
Janelia Research Campus,4349
มหาวิทยาลัยเกษตรศาสตร์,4303
International Ocean Discovery Program,4288
Thammasat University,4122
NAKALA - https://nakala.fr (Huma-Num - CNRS),4096
CNGB,4057
GBIF Secretariat,4016
Universitätsbibliothek Heidelberg,3964
DARIAH-DE,3873
HuBMAP Consortium,3858
"มหาวิทยาลัยมหิดล,",3843
STScI/MAST,3770
International Institute of Refrigeration (IIR),3712
Harte Research Institute,3696
